Compound,CAS,smiles,Solvents normalized,Solvent count,Solvent system/raw phrase,Method notes,Extraction confidence,Review flags,Source context,record_id,compound_name_clean,smiles_status,smiles_canonical,inchi_key,largest_fragment_smiles,largest_fragment_inchikey,fragment_count,rdkit_mw,rdkit_clogp,rdkit_tpsa,rdkit_hbd,rdkit_hba,rdkit_rotatable_bonds,rdkit_aromatic_rings,rdkit_ring_count,rdkit_fraction_csp3,formal_charge,morgan2_2048_num_onbits,morgan2_2048_onbits,fg_carboxylic_acid,fg_sulfonic_acid,fg_phosphonic_acid,fg_acid_any,fg_phenol,fg_alcohol,fg_amide,fg_urea,fg_imide,fg_ester,fg_anhydride,fg_acyl_halide,fg_aldehyde,fg_ketone,fg_amine_nonamide,fg_basic_aromatic_n,fg_nitro,fg_aromatic_halide,fg_acetal_like,fg_boc_carbamate_like,fg_quinone_like,entry_salt_or_ionic_flag,salt_terms_detected,derivative_terms_detected,primary_recryst_class,secondary_recryst_classes,nearest_neighbor_ready,solvent_list_clean,solvent_count_calc,solvent_families,has_water,has_alcohol,has_hydrocarbon,has_aromatic_hydrocarbon,has_ether,has_ketone_or_ester_solvent,has_halogenated_solvent,has_acidic_solvent,has_polar_aprotic_or_strong_solvent,has_legacy_solvent,legacy_solvents,modernized_solvent_suggestions,solvent_safety_classes,system_type_estimated,likely_pair_families,has_colon_ratio,colon_ratios_detected,has_percent_composition,percent_values_detected,has_aqueous_word,has_hot_or_reflux_word,has_charcoal_or_carbon,has_wash_word,has_additive_or_few_drops_word,has_acid_additive_hint,has_base_additive_hint,compatibility_warning_candidates,class_default_single_panel,class_default_pair_panel,recommendation_use_weight
S-Acetoxysuccinic anhydride,59025-03-5,CC(=O)Oc1cc(O)oc1O,acetic anhydride,1,Ac2O,,High,,"Recrystallise it from Ac2O and dry it in a vacuum over KOH, or by washing it with dry Et2O due to its deliquescent nature. [Jones J Chem Soc 788 1933, DOI: 10.1039/JR9330000788; Henrot et al.",RC00011,S-Acetoxysuccinic anhydride,valid,CC(=O)Oc1cc(O)oc1O,WZRLWNPXEDXMID-UHFFFAOYSA-N,CC(=O)Oc1cc(O)oc1O,WZRLWNPXEDXMID-UHFFFAOYSA-N,1,158.109,0.616,79.90,2,5,1,1,1,0.167,0,24,37 650 656 695 807 834 858 875 899 1017 1035 1057 1269 1380 1468 1493 1602 1604 1729 1775 1797 1873 1917 1970,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,,,phenol_alcohol,ester; phenol,Y,acetic anhydride,1,acidic/reactive,N,N,N,N,N,N,N,Y,N,N,,acetic anhydride,acetic anhydride:orange_reactive,single_or_single_reported,,N,,N,,N,N,N,Y,N,N,Y,,ethanol; methanol/water 90:10; ethanol/water 90:10; acetone; ethyl acetate; ethyl acetate/heptane; toluene/heptane; water if polar,ethanol/water; methanol/water; ethyl acetate/heptane; toluene/heptane; acetone/heptane,1.0
"Acetylenedicarboxamide (Aquamycin, Cellocidin)",543-21-5,C(#CC(=O)N)C(=O)N,methanol; water,2,MeOH and H2O,,High,,Acetylenedicarboxamide crystallises from MeOH and H2O [m 190-192o(dec) as hemihydrate].,RC00012,"Acetylenedicarboxamide (Aquamycin, Cellocidin)",valid,NC(=O)C#CC(N)=O,JBTGHKUTYAMZEZ-UHFFFAOYSA-N,NC(=O)C#CC(N)=O,JBTGHKUTYAMZEZ-UHFFFAOYSA-N,1,112.088,-2.040,86.18,2,2,0,0,0,0.000,0,10,140 650 674 753 807 993 1171 1693 1917 1970,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,hydrate,amide_urea_imide_like,amide_urea_imide,Y,methanol; water,2,alcohol; water/aqueous,Y,Y,N,N,N,N,N,N,N,N,,methanol; water,,aqueous_or_water_containing_system,alcohol/water,N,,N,,N,N,N,N,N,N,N,,ethanol; methanol; water; ethanol/water 90:10; acetone; ethyl acetate; acetonitrile; ethanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; ethyl acetate/heptane; acetone/heptane,1.0
3-(S-Acetylmercapto)isobutyric acid,33325-40-5,CC(CSC(=O)C)C(=O)O,benzene,1,*C6H6.,,High,benzene legacy,Distil the acid under high vacuum and recrystallise it from *C6H6. [Fredga & Mastersson Chem Abstr 38 3616 1944.] Acetyl methanesulfonate,RC00013,3-(S-Acetylmercapto)isobutyric acid,valid,CC(=O)SCC(C)C(=O)O,VFVHNRJEYQGRGE-UHFFFAOYSA-N,CC(=O)SCC(C)C(=O)O,VFVHNRJEYQGRGE-UHFFFAOYSA-N,1,162.210,0.987,54.37,1,3,3,0,0,0.667,0,20,1 80 116 283 389 468 618 650 807 960 1017 1057 1093 1168 1354 1368 1685 1760 1844 1917,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic,Y,benzene,1,aromatic hydrocarbon,N,N,Y,Y,N,N,N,N,N,Y,benzene,toluene; toluene/heptane,benzene:red_legacy,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,legacy_toxic_solvent_replace,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
Acetylenedicarboxylic acid (butynedioic acid),142-45-0,O=C(O)C#CC(=O)O,water; diethyl ether; petroleum ether; sulfuric acid,4,"Et2O/petroleum ether (m 183-183.5o), or H2O as the dihydrate which dehydrates in a desiccator over concentrated H2SO4 in a vacuum.; aqueous ether.",aqueous,High,,"The acid is soluble in Et2O and crystallises from Et2O/petroleum ether (m 183-183.5o), or H2O as the dihydrate which dehydrates in a desiccator over concentrated H2SO4 in a vacuum. | The dipicrate crystallises from aqueous ether.",RC00014,Acetylenedicarboxylic acid (butynedioic acid),valid,O=C(O)C#CC(=O)O,YTIVTFGABIZHHX-UHFFFAOYSA-N,O=C(O)C#CC(=O)O,YTIVTFGABIZHHX-UHFFFAOYSA-N,1,114.056,-0.841,74.60,2,2,0,0,0,0.000,0,9,389 399 650 674 807 1245 1693 1850 1917,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,picrate,hydrate; picrate,salt_or_ionic,acidic,Y,water; diethyl ether; petroleum ether; sulfuric acid,4,acidic/protic; aliphatic hydrocarbon; ether; water/aqueous,Y,N,Y,N,Y,N,N,Y,N,Y,petroleum ether,water; diethyl ether; heptane; cyclohexane; sulfuric acid,sulfuric acid:red_strong_acid,aqueous_or_water_containing_system,,N,,N,,Y,N,N,N,N,N,N,,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
N-Acetylethylenediamine,1001-53-2,CC(=O)NCCN,diethyl ether; dioxane; ethanol; ethyl acetate; dichloromethane,5,"dioxane/Et2O.; EtOH/EtOAc (1:8), has m 125-126o, but the free base cannot be recovered from it by basifying and extracting with CH2Cl2.",,High,,"It is a low melting hygroscopic solid which can be recrystallised from dioxane/Et2O. | The p- toluenesulfonate salt can be recrystallised from EtOH/EtOAc (1:8), has m 125-126o, but the free base cannot be recovered from it by basifying and extracting with CH2Cl2.",RC00015,N-Acetylethylenediamine,valid,CC(=O)NCCN,DAKZISABEDGGSV-UHFFFAOYSA-N,CC(=O)NCCN,DAKZISABEDGGSV-UHFFFAOYSA-N,1,102.137,-0.919,55.12,2,2,2,0,0,0.750,0,17,80 197 245 650 667 731 807 927 981 1017 1057 1152 1171 1244 1760 1840 1917,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,salt,,salt_or_ionic,amide_urea_imide; basic,Y,diethyl ether; dioxane; ethanol; ethyl acetate; dichloromethane,5,alcohol; ether; halogenated; ketone/ester,N,Y,N,N,Y,Y,Y,N,N,N,,diethyl ether; dioxane; ethanol; ethyl acetate; dichloromethane,dichloromethane:orange_limit,explicit_mixed_or_pair_system,alcohol/ether,Y,1:8,N,,N,N,N,N,N,N,N,halogenated_solvent_limit,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
N-Acetylthiourea,591-08-2,CC(=O)NC(N)=S,acetic acid,1,AcOH; the solid is,,High,,"Recrystallise the thiourea from AcOH; the solid is washed with Et2O and dried in air, then at 100o. [Zahradnik Coll Czech Chem Commun 24 3678 1959, DOI:10.1135/cccc19593678; Beilstein 3 IV 354.] cis-Aconitic acid (1,2,3-propenetriscarboxylic acid)",RC00016,N-Acetylthiourea,valid,CC(=O)NC(N)=S,IPCRBOOJBPETMF-UHFFFAOYSA-N,CC(=O)NC(N)=S,IPCRBOOJBPETMF-UHFFFAOYSA-N,1,118.161,-0.634,55.12,2,2,0,0,0,0.333,0,16,97 110 140 245 316 650 718 807 941 1017 1057 1119 1152 1171 1880 1917,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,,amide_urea_imide_like,amide_urea_imide; basic,Y,acetic acid,1,acidic/protic,N,N,N,N,N,N,N,Y,N,N,,acetic acid,acetic acid:yellow_acidic,single_or_single_reported,,N,,N,,N,N,N,Y,N,N,N,,ethanol; methanol; water; ethanol/water 90:10; acetone; ethyl acetate; acetonitrile; ethanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; ethyl acetate/heptane; acetone/heptane,1.0
"cis-Aconitic acid (1,2,3-propenetriscarboxylic acid)",585-84-2,C(C(=CC(=O)O)C(=O)O)C(=O)O,water,1,water by cooling (solubility is 1g in 2ml of water at 25o).,cooling,High,,Crystallise the cis-acid from water by cooling (solubility is 1g in 2ml of water at 25o).,RC00017,"cis-Aconitic acid (1,2,3-propenetriscarboxylic acid)",valid,O=C(O)C=C(CC(=O)O)C(=O)O,GTZCVFVGUGFEME-UHFFFAOYSA-N,O=C(O)C=C(CC(=O)O)C(=O)O,GTZCVFVGUGFEME-UHFFFAOYSA-N,1,174.108,-0.443,111.90,3,3,4,0,0,0.167,0,18,80 389 446 475 650 694 736 807 887 976 1032 1120 1152 1323 1336 1666 1737 1917,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic; high_tpsa,Y,water,1,water/aqueous,Y,N,N,N,N,N,N,N,N,N,,water,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
trans-Aconitic acid,4023-65-8,O=C(O)C=C(CC(=O)O)C(=O)O,acetone; chloroform,2,Me2CO/CHCl3.,,High,,The acid can be recrystallised from Me2CO/CHCl3.,RC00018,trans-Aconitic acid,valid,O=C(O)C=C(CC(=O)O)C(=O)O,GTZCVFVGUGFEME-UHFFFAOYSA-N,O=C(O)C=C(CC(=O)O)C(=O)O,GTZCVFVGUGFEME-UHFFFAOYSA-N,1,174.108,-0.443,111.90,3,3,4,0,0,0.167,0,18,80 389 446 475 650 694 736 807 887 976 1032 1120 1152 1323 1336 1666 1737 1917,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic; high_tpsa,Y,acetone; chloroform,2,halogenated; ketone/ester,N,N,N,N,N,Y,Y,N,N,Y,chloroform,acetone; ethyl acetate; dichloromethane_if_needed,chloroform:orange_limit,explicit_mixed_or_pair_system,,N,,N,,N,N,N,N,N,Y,N,halogenated_solvent_limit,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
Acrolein semicarbazone,6055-71-6,,water,1,water in needles.,,High,,"C4H8N3O, M 114.1, m 171o, crystallises from water in needles. [Auwers & Heineke Justus Liebigs Ann Chem 458 186 1927, DOI: 10.1002/jlac.1927458011; Beilstein 1 II 785.] Acrolein diacetyl acetal (1,1-diacetoxy-2-propene).",RC00019,Acrolein semicarbazone,missing,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,semicarbazone,neutral_other,,N,water,1,water/aqueous,Y,N,N,N,N,N,N,N,N,N,,water,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,ethanol; methanol; isopropanol; acetone; ethyl acetate; water or ethanol/water 90:10; toluene; heptane/cyclohexane,ethanol/water; methanol/water; ethyl acetate/heptane; acetone/heptane; toluene/heptane,1.0
Acrylamide,79-06-1,C=CC(=O)N,methanol; acetone; ethyl acetate; chloroform; benzene,5,"acetone, chloroform, ethyl acetate, methanol or *benzene/chloroform mixture; CHCl3 by dissolving 200g in 1L, heating to boiling and filtering without suction in a warmed funnel through Whatman 541 filter paper; allowing to cool to room temperature and keeping at -15o overnight.",boiling,High,benzene legacy,"Crystallise acrylamide from acetone, chloroform, ethyl acetate, methanol or *benzene/chloroform mixture, then vacuum dry, and store it in the dark under a vacuum. | Recrystallise it from CHCl3 by dissolving 200g in 1L, heating to boiling and filtering without suction in a warmed funnel through Whatman 541 filter paper; allowing to cool to room temperature and keeping at -15o overnight.",RC00020,Acrylamide,valid,C=CC(N)=O,HRPVXLWXLXDGHG-UHFFFAOYSA-N,C=CC(N)=O,HRPVXLWXLXDGHG-UHFFFAOYSA-N,1,71.079,-0.342,43.09,1,1,1,0,0,0.000,0,11,140 173 335 650 694 807 959 1171 1366 1645 1917,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,amide_urea_imide_like,amide_urea_imide,Y,methanol; acetone; ethyl acetate; chloroform; benzene,5,alcohol; aromatic hydrocarbon; halogenated; ketone/ester,N,Y,Y,Y,N,Y,Y,N,N,Y,chloroform; benzene,methanol; acetone; ethyl acetate; dichloromethane_if_needed; toluene; toluene/heptane,chloroform:orange_limit; benzene:red_legacy,explicit_mixed_or_pair_system,,N,,N,,N,Y,N,N,N,Y,N,legacy_toxic_solvent_replace; halogenated_solvent_limit,ethanol; methanol; water; ethanol/water 90:10; acetone; ethyl acetate; acetonitrile; ethanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; ethyl acetate/heptane; acetone/heptane,1.0
cis-Aconitic anhydride,6318-55-4,O=C(O)C=C1CC(=O)OC1=O,benzene,1,*C6H6.,,High,benzene legacy,"Reflux it in xylene (7.5 parts) for 1 hour, then evaporate and recrystallise the residue from *C6H6. | Alternatively, reflux it in Ac2O, evaporate and recrystallise from *C6H6.",RC00021,cis-Aconitic anhydride,valid,O=C(O)C=C1CC(=O)OC1=O,IWBAVDAIMLGBEK-UHFFFAOYSA-N,O=C(O)C=C1CC(=O)OC1=O,IWBAVDAIMLGBEK-UHFFFAOYSA-N,1,156.093,-0.529,80.67,1,4,1,0,1,0.167,0,23,165 314 389 395 549 648 650 656 694 807 821 926 970 976 1088 1092 1214 1319 1380 1564 1810 1917 1996,Y,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic; ester; hydrolysis_sensitive,Y,benzene,1,aromatic hydrocarbon,N,N,Y,Y,N,N,N,N,N,Y,benzene,toluene; toluene/heptane,benzene:red_legacy,single_or_single_reported,,N,,N,,N,Y,N,N,N,N,N,legacy_toxic_solvent_replace,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
Adipic acid,124-04-9,O=C(O)CCCCC(=O)O,water; petroleum ether; acetone; ethyl acetate,4,"hot water with the addition of a little animal charcoal; ethyl acetate and from acetone/petroleum ether, fusion",hot; charcoal,High,,"For use as a volumetric standard, adipic acid is crystallised once from hot water with the addition of a little animal charcoal, dried at 120o for 2 hours, then recrystallised from acetone and again dried at 120o for 2 hours. | Other purification procedures include crystallisation from ethyl acetate and from acetone/petroleum ether, fusion, followed by filtration and crystallisation from the melt, and preliminary distillation under vacuum. [Beilstein 2 H 649, 2 I 277, 2 II 572, 2 III 1705, 2 IV 1956.] Diethyl adipate",RC00022,Adipic acid,valid,O=C(O)CCCCC(=O)O,WNLRTRBMVRJNCN-UHFFFAOYSA-N,O=C(O)CCCCC(=O)O,WNLRTRBMVRJNCN-UHFFFAOYSA-N,1,146.142,0.716,74.60,2,2,5,0,0,0.667,0,11,80 389 650 807 1110 1267 1287 1564 1737 1911 1917,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic,Y,water; petroleum ether; acetone; ethyl acetate,4,aliphatic hydrocarbon; ketone/ester; water/aqueous,Y,N,Y,N,N,Y,N,N,N,Y,petroleum ether,water; heptane; cyclohexane; acetone; ethyl acetate,,aqueous_or_water_containing_system,ester_or_ketone/hydrocarbon; acetone/water,N,,N,,N,Y,Y,N,N,N,N,,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
Agaricic acid [1-(n-hexadecyl)citric acid],666-99-9,CCCCCCCCCCCCCCCCC(C(=O)O)C(CC(=O)O)(C(=O)O)O,ethanol,1,EtOH.,,High,,Crystallise the acid from EtOH.,RC00023,Agaricic acid [1-(n-hexadecyl)citric acid],valid,CCCCCCCCCCCCCCCCC(C(=O)O)C(O)(CC(=O)O)C(=O)O,HZLCGUXUOFWCCN-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCC(C(=O)O)C(O)(CC(=O)O)C(=O)O,HZLCGUXUOFWCCN-UHFFFAOYSA-N,1,416.555,4.849,132.13,4,4,20,0,0,0.864,0,30,1 80 114 202 294 389 525 591 650 710 733 739 794 807 1057 1061 1143 1283 1356 1419 1444 1485 1648 1737 1844 1876 1908 1911 1917 1977,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic; flexible_oiling_risk; high_logp; high_tpsa,Y,ethanol,1,alcohol,N,Y,N,N,N,N,N,N,N,N,,ethanol,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
Agmatine sulfate [5-guanidinopent-1-ylamine sulfate],2482-00-0,N=C(N)NCCCCN,methanol; water,2,aqueous MeOH.,aqueous,High,,Crystallise the salt from aqueous MeOH.,RC00024,Agmatine sulfate [5-guanidinopent-1-ylamine sulfate],valid,N=C(N)NCCCCN,QYPPJABKJHAVHS-UHFFFAOYSA-N,N=C(N)NCCCCN,QYPPJABKJHAVHS-UHFFFAOYSA-N,1,130.195,-0.792,87.92,4,2,4,0,0,0.800,0,19,80 140 197 592 623 667 807 894 981 983 1082 1104 1152 1171 1451 1517 1840 1876 1911,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,salt; sulfate,,salt_or_ionic,basic,Y,methanol; water,2,alcohol; water/aqueous,Y,Y,N,N,N,N,N,N,N,N,,methanol; water,,aqueous_or_water_containing_system,alcohol/water,N,,N,,Y,N,N,N,N,N,N,,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
The free base has,306-60-5,C(CCN=C(N)N)CN,water,1,"H2O with m 223o(dec), and the picrate has m 236-238o.",,High,review name,"C5H14N4, M 130.2, m 101.5-103o, the gold chloride hydrochloride crystallises from H2O with m 223o(dec), and the picrate has m 236-238o. [Kossel Z Physiol Chem 66 257 1910, DOI: 10.1515/bchm2.1910.66.3.257; Raasch et al. for ��Biological significance of agmatine, an endogenous ligand at imidazoline binding sites�� see: Br J Pharmacol 133 755 2001, DOI: 10.1038/sj.bjp.0704153; Beilstein 4 I 420, 4 II 703, 4 III 575, 4 IV 1291.] Aldol (3-hydroxybutanal)",RC00025,The free base has,valid,NCCCCN=C(N)N,QYPPJABKJHAVHS-UHFFFAOYSA-N,NCCCCN=C(N)N,QYPPJABKJHAVHS-UHFFFAOYSA-N,1,130.195,-1.001,90.42,3,2,4,0,0,0.800,0,17,80 140 144 351 725 807 914 978 981 1082 1171 1517 1744 1840 1911 1926 2004,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,chloride; hydrochloride; picrate,hydrochloride; picrate,salt_or_ionic,basic; high_tpsa,Y,water,1,water/aqueous,Y,N,N,N,N,N,N,N,N,N,,water,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
"Aleuritic acid [RS-erythro-9,10,16-trihydroxyhexadecanoic acid]",533-87-9,O=C(O)CCCCCCCC(O)C(O)CCCCCCO,ethanol; water,2,aqueous EtOH.,aqueous,High,,Crystallise this RS-acid from aqueous EtOH.,RC00026,"Aleuritic acid [RS-erythro-9,10,16-trihydroxyhexadecanoic acid]",valid,O=C(O)CCCCCCCC(O)C(O)CCCCCCO,MEHUJCGAYMDLEL-UHFFFAOYSA-N,O=C(O)CCCCCCCC(O)C(O)CCCCCCO,MEHUJCGAYMDLEL-UHFFFAOYSA-N,1,304.427,2.466,97.99,4,4,15,0,0,0.938,0,23,1 80 222 227 389 413 473 541 650 739 807 888 1110 1130 1143 1267 1283 1287 1564 1737 1769 1911 1917,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic; flexible_oiling_risk; high_tpsa,Y,ethanol; water,2,alcohol; water/aqueous,Y,Y,N,N,N,N,N,N,N,N,,ethanol; water,,aqueous_or_water_containing_system,alcohol/water,N,,N,,Y,N,N,N,N,N,N,,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
The ethyl ester,6003-09-4,,ethanol,1,EtOH.,,High,review name,"m 59o, crystallises in needles from EtOH.",RC00027,The ethyl ester,missing,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,neutral_other,,N,ethanol,1,alcohol,N,Y,N,N,N,N,N,N,N,N,,ethanol,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,ethanol; methanol; isopropanol; acetone; ethyl acetate; water or ethanol/water 90:10; toluene; heptane/cyclohexane,ethanol/water; methanol/water; ethyl acetate/heptane; acetone/heptane; toluene/heptane,1.0
The hydrazide,6003-10-7,,ethanol; diethyl ether,2,EtOH and has m 139-140o.; EtOH or an EtOH/Et2O mixture.; an EtOH/Et2O mixture.,,High,review name,"crystallises from EtOH and has m 139-140o. | Recrystallise them from EtOH or an EtOH/Et2O mixture. [Hashimoto & Thomas J Am Chem Soc 107 4655 1985, DOI: 10.1021/ja00302a010; Chu & Thomas J Am Chem Soc 108 6270 1986, DOI: 10.1021/ja00280a026.] n-Alkyltrimethylammonium bromide n=10,12,16. | Recrystallise them from an EtOH/Et2O mixture. [Hashimoto & Thomas J Am Chem Soc 107 4655 1985, DOI: 10.1021/ja00302a010.] Allene (propadiene)",RC00028,The hydrazide,missing,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,ammonium; bromide,,salt_or_ionic,,N,ethanol; diethyl ether,2,alcohol; ether,N,Y,N,N,Y,N,N,N,N,N,,ethanol; diethyl ether,,explicit_mixed_or_pair_system,alcohol/ether,N,,N,,N,N,N,N,N,N,N,,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
2-Aminoethanol (ethanolamine),141-43-5,NCCO,ethanol,1,EtOH (at low temperature).; the atmosphere.,cooling,High,,"After distillation, 2-aminoethanol is further purified by repeated washing with ether and crystallising from EtOH (at low temperature). | After fractional distillation in the absence of CO2, it is twice crystallised by cooling, followed again by distillation. It is hygroscopic, and absorbs CO2 from the atmosphere. [Reitmeier et al.",RC00029,2-Aminoethanol (ethanolamine),valid,NCCO,HZAXFHJVJLSVMW-UHFFFAOYSA-N,NCCO,HZAXFHJVJLSVMW-UHFFFAOYSA-N,1,61.084,-1.063,46.25,2,2,1,0,0,1.000,0,8,80 222 473 807 981 1171 1331 1840,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,,basic_amine_heterocycle,basic,Y,ethanol,1,alcohol,N,Y,N,N,N,N,N,N,N,N,,ethanol,,single_or_single_reported,,N,,N,,N,N,N,Y,N,N,N,,ethanol; methanol; acetone; ethyl acetate; ethyl acetate/heptane; toluene/heptane; ethanol/diethyl ether if salt; methanol/diethyl ether if salt,ethyl acetate/heptane; toluene/heptane; ethanol/water; ethanol/diethyl ether if salt; methanol/diethyl ether if salt,1.0
2-Aminoethanol hydrochloride,2002-24-6,C(CO)N,ethanol,1,EtOH.,,High,,"HCl, M 97.6, m 75-77o, is recrystallised from EtOH.",RC00030,2-Aminoethanol hydrochloride,valid,NCCO,HZAXFHJVJLSVMW-UHFFFAOYSA-N,NCCO,HZAXFHJVJLSVMW-UHFFFAOYSA-N,1,61.084,-1.063,46.25,2,2,1,0,0,1.000,0,8,80 222 473 807 981 1171 1331 1840,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,chloride; hydrochloride,hydrochloride,salt_or_ionic,basic,Y,ethanol,1,alcohol,N,Y,N,N,N,N,N,N,N,N,,ethanol,,single_or_single_reported,,N,,N,,N,N,N,N,N,Y,N,,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
