No.,Reaction name (book TOC),Normalized / common name,Book page,Subentry,Parent entry,Entry type,Primary class,Concise description,Representative reaction SMILES,SMILES status,RXNO ID,RXNO label,RXNO definition,Notes / discrepancies,Book source,RXNO URL
158,Knoevenagel condensation,Knoevenagel condensation,329,No,,Reaction,C–C bond formation / condensation / multicomponent,Condensation between carbonyl compounds and activated methylene compounds catalyzed by amines.,O=Cc1ccccc1.N#CCC#N>>N#C/C(=C\c1ccccc1)C#N,Representative; RDKit-parsable,RXNO:0000044,Knoevenagel condensation,A carbon-carbon coupling reaction of an aldehyde and a methylene compound.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 329",https://purl.obolibrary.org/obo/RXNO_0000044
159,Knorr pyrazole synthesis,Knorr pyrazole synthesis,331,No,,Reaction,Heterocycle synthesis,"Reaction of hydrazine or substituted hydrazine with 1,3-dicarbonyl compounds to provide the pyrazole or pyrazolone ring system.",CC(=O)CC(C)=O.NN>>Cc1cc(C)[nH]n1,Representative; RDKit-parsable,RXNO:0000391,Knorr pyrazole synthesis,"Synthesis of a pyrazole by condensation of a 1,3-dicarbonyl compound with a hydrazine, hydrazide, semicarbazide or aminoguanidine.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 331",https://purl.obolibrary.org/obo/RXNO_0000391
160,Paal–Knorr pyrrole synthesis,Paal–Knorr pyrrole synthesis,333,Yes,Knorr pyrazole synthesis,Reaction,Heterocycle synthesis,"Cyclocondensation of a 1,4-dicarbonyl compound with ammonia or a primary amine to form a pyrrole.",CC(=O)CCC(C)=O.N>>Cc1cc(C)[nH]c1,Representative; RDKit-parsable,RXNO:0000164,Paal-Knorr pyrrole synthesis,"The cyclisation of a 1,4-dicarbonyl compound with an amine to give a pyrrole.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 333",https://purl.obolibrary.org/obo/RXNO_0000164
161,Koch–Haaf carbonylation,Koch–Haaf carbonylation,335,No,,Reaction,C–C bond formation / condensation / multicomponent,Strong acid-catalyzed tertiary carboxylic acid formation from alcohols or olefins and CO.,CC(C)(C)O>>CC(C)(C)C(=O)O,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 335",
162,Koenig–Knorr glycosidation,Koenigs–Knorr glycosylation,337,No,,Reaction,Carbohydrate / glycosylation,"Silver-salt-promoted substitution of a glycosyl halide by an alcohol to form a glycoside, often with 1,2-trans selectivity.",,Not encoded,,,,The TOC uses “Koenig–Knorr”; the usual spelling is “Koenigs–Knorr”.,"Li, Name Reactions, 3rd ed. (2006), p. 337",
163,Kolbe–Schmitt reaction,Kolbe–Schmitt reaction,339,No,,Reaction,C–C bond formation / condensation / multicomponent,"Carboxylation of sodium phenoxides with carbon dioxide, to give salicylic acid, the precursor to the synthesis of aspirin.",Oc1ccccc1>>O=C(O)c1ccccc1O,Representative; RDKit-parsable,RXNO:0000182,Kolbe-Schmitt reaction,The (predominantly ortho) carboxylation of a phenoxide.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 339",https://purl.obolibrary.org/obo/RXNO_0000182
164,Kostanecki reaction,Kostanecki reaction,341,No,,Reaction,Heterocycle synthesis,Acylation of an o-hydroxyaryl ketone followed by base-promoted cyclization to form a flavone or chromone derivative.,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 341",
165,Kröhnke pyridine synthesis,Kröhnke pyridine synthesis,343,No,,Reaction,Heterocycle synthesis,"Condensation of an α-pyridinium methyl ketone salt with an α,β-unsaturated carbonyl compound to form a substituted pyridine.",,Not encoded,RXNO:0000420,Kröhnke pyridine synthesis,"Condensation of a 1,5-diketone with ammonium acetate in acetic acid to form a pyridine.",,"Li, Name Reactions, 3rd ed. (2006), p. 343",https://purl.obolibrary.org/obo/RXNO_0000420
166,Kumada cross-coupling reaction,Kumada cross-coupling reaction,345,No,,Reaction,Cross-coupling / organometallic coupling,Nickel- or palladium-catalyzed cross-coupling of a Grignard reagent with an organic halide or pseudohalide.,Brc1ccccc1.C[Mg]Br>>Cc1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 345",
167,Lawesson’s reagent,Lawesson’s reagent,348,No,,Reagent/method,Functional-group interconversion / method,"2,4-Bis-(4-methoxyphenyl)-[1,3,2,4]dithiadiphosphetane 2,4-disulfide, transforms the carbonyl groups of ketones, amides and esters into the corresponding thiocarbonyl compounds.",CC(=O)c1ccccc1>>CC(=S)c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 348",
168,Leuckart–Wallach reaction,Leuckart–Wallach reaction,350,No,,Reaction,Functional-group interconversion / method,"Amine synthesis from reductive amination of a ketone and an amine in the presence of excess formic acid, which serves as the reducing reagent by delivering a hydride.",CC(C)=O.NC=O>>CC(C)N,Representative; RDKit-parsable,RXNO:0000102,Leuckart-Wallach reaction,The reductive amination of ketones or aldehydes with an amine and formic acid to form amines.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 350",https://purl.obolibrary.org/obo/RXNO_0000102
169,Lossen rearrangement,Lossen rearrangement,352,No,,Reaction,Rearrangement / fragmentation,Treatment of O-acylated hydroxamic acids with base provides isocyanates.,O=C(NO)c1ccccc1>>Nc1ccccc1,Representative; RDKit-parsable,RXNO:0000156,Lossen rearrangement,The derivatisation (for example with tosyl chloride) and subsequent rearrangement of a hydroxamic acid to give an isocyanate.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 352",https://purl.obolibrary.org/obo/RXNO_0000156
170,McFadyen–Stevens reduction,McFadyen–Stevens reduction,354,No,,Reaction,Reduction,Treatment of acylbenzenesulfonylhydrazines with base delivers the corresponding aldehydes.,O=C(NNS(=O)(=O)c1ccc(C)cc1)c1ccccc1>>O=Cc1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 354",
171,McMurry coupling,McMurry coupling,356,No,,Reaction,Cross-coupling / organometallic coupling,Olefination of carbonyls with low-valent titanium such as Ti(0) derived from TiCl3/LiAlH4.,O=Cc1ccccc1.O=Cc1ccccc1>>c1ccccc1/C=C/c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 356",
172,MacMillan catalyst,MacMillan catalyst,358,No,,Catalyst/method,C–C bond formation / condensation / multicomponent,"Use of chiral imidazolidinone organocatalysts for enantioselective reactions such as Diels–Alder, conjugate addition, and Friedel–Crafts reactions.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 358",
173,Mannich reaction,Mannich reaction,361,No,,Reaction,C–C bond formation / condensation / multicomponent,"Three-component aminomethylation from amine, formaldehyde and a compound with an acidic methylene moiety.",CC(C)=O.C=O.CNC>>CC(=O)CCN(C)C,Representative; RDKit-parsable,RXNO:0000032,Mannich reaction,"A carbon-carbon coupling reaction where ammonia or an amine reacts with a non-enolisable aldehyde, often methanal, and an enolisable carbonyl compound to form a beta-amino carbonyl compound.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 361",https://purl.obolibrary.org/obo/RXNO_0000032
174,Marshall boronate fragmentation,Marshall boronate fragmentation,363,No,,Reaction,Rearrangement / fragmentation,Boronate-assisted Grob-type fragmentation that cleaves a carbon–carbon bond while forming a carbonyl group and an alkene.,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 363",
175,Martin’s sulfurane dehydrating reagent,Martin’s sulfurane dehydrating reagent,365,No,,Reagent/method,Olefination / elimination,"Dehydrates secondary and tertiary alcohols to give olefins, but forms ethers with primary alcohols.",CCC(C)O>>CC=CC,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 365",
176,Masamune–Roush conditions,Masamune–Roush conditions,367,No,,Conditions/method,Functional-group interconversion / method,Modified Horner–Wadsworth–Emmons conditions designed for base-sensitive aldehydes and phosphonates.,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 367",
177,Meerwein–Ponndorf–Verley reduction,Meerwein–Ponndorf–Verley reduction,369,No,,Reaction,Reduction,Transfer-hydrogenation reduction of a ketone or aldehyde with aluminium isopropoxide in isopropanol.,CC(=O)c1ccccc1>>CC(O)c1ccccc1,Representative; RDKit-parsable,RXNO:0000089,Meerwein-Ponndorf-Verley reduction,"A reduction of an aldehyde or ketone to an alcohol involving an equilibrium between the aldehyde or ketone and a reagent alcohol present in excess, catalysed by a metal alkoxide. This reaction is the reverse of the Oppenauer oxidation (RXNO:0000047).","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 369",https://purl.obolibrary.org/obo/RXNO_0000089
178,Meisenheimer complex,Meisenheimer complex,371,No,,Intermediate/concept,Functional-group interconversion / method,A resonance-stabilized anionic σ-adduct formed during nucleophilic aromatic substitution of an electron-deficient arene.,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 371",
179,"[1,2]-Meisenheimer rearrangement","[1,2]-Meisenheimer rearrangement",372,No,,Reaction,Rearrangement / fragmentation,"[1,2]-Rearrangement of a tertiary amine N-oxide to an O-alkyl hydroxylamine.",[O-][N+](C)(C)CC>>CCON(C)C,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 372",
180,"[2,3]-Meisenheimer rearrangement","[2,3]-Meisenheimer rearrangement",374,No,,Reaction,Rearrangement / fragmentation,"[2,3]-Sigmatropic rearrangement of an allylic tertiary amine N-oxide to an O-allyl hydroxylamine.",[O-][N+](C)(C)CC=C>>C=CCON(C)C,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 374",
181,Meth–Cohn quinoline synthesis,Meth–Cohn quinoline synthesis,376,No,,Reaction,Heterocycle synthesis,Conversion of acylanilides into 2-chloro-3-substituted quinolines by the action of Vilsmeier’s reagent in warmed phosphorus oxychloride (POCl3) as solvent.,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 376",
182,Meyers oxazoline method,Meyers oxazoline method,378,No,,Method,C–C bond formation / condensation / multicomponent,Use of a chiral oxazoline as a directing/activating group and auxiliary for stereoselective carbon–carbon bond formation.,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 378",
183,Meyer–Schuster rearrangement,Meyer–Schuster rearrangement,380,No,,Reaction,Rearrangement / fragmentation,"Acid-catalyzed isomerization of a propargylic alcohol to an α,β-unsaturated aldehyde or ketone.",CC(O)(C#C)c1ccccc1>>CC(=O)/C=C/c1ccccc1,Representative; RDKit-parsable,RXNO:0000476,Meyer-Schuster rearrangement,"Rearrangement of a propargyl alcohol to an alpha,beta-unsaturated carbonyl compound via an allene intermediate to yield the gamma-substituted product.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 380",https://purl.obolibrary.org/obo/RXNO_0000476
184,Michael addition,Michael addition,382,No,,Reaction,C–C bond formation / condensation / multicomponent,"Conjugate addition of a carbon-nucleophile to an α,β-unsaturated system.",COC(=O)CC(=O)OC.C=CC(C)=O>>COC(=O)C(CC(C)=O)C(=O)OC,Representative; RDKit-parsable,RXNO:0000009,Michael addition,"A conjugate addition reaction where a carbon nucleophile adds to the beta-carbon of an alpha,beta-unsaturated system (or an activated carbon-carbon bond).","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 382",https://purl.obolibrary.org/obo/RXNO_0000009
185,Michaelis–Arbuzov phosphonate synthesis,Michaelis–Arbuzov phosphonate synthesis,384,No,,Reaction,Functional-group interconversion / method,Phosphonate synthesis from the reaction of alkyl halides with phosphites.,CCBr.CCOP(OCC)OCC>>CCP(=O)(OCC)OCC,Representative; RDKit-parsable,RXNO:0000060,Arbuzov reaction,The alkylation of a trialkyl phosphite with an alkyl halide or acyl halide to give an alkyl phosphonate.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 384",https://purl.obolibrary.org/obo/RXNO_0000060
186,Midland reduction,Midland reduction,386,No,,Reaction,Reduction,Asymmetric reduction of ketones using Alpine-borane®. Alpine-borane® = B-isopinocampheyl-9-borabicyclo[3.3.1]nonane.,CC(=O)c1ccccc1>>C[C@H](O)c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 386",
187,Mislow–Evans rearrangement,Mislow–Evans rearrangement,388,No,,Reaction,Rearrangement / fragmentation,"[2,3]-Sigmatropic rearrangement of an allylic sulfoxide, usually followed by hydrolysis, to give an allylic alcohol.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 388",
188,Mitsunobu reaction,Mitsunobu reaction,390,No,,Reaction,Functional-group interconversion / method,Stereoinvertive substitution of an alcohol by an acidic nucleophile using triphenylphosphine and an azodicarboxylate.,OCc1ccccc1.Oc1ccccc1>>c1ccc(OCc2ccccc2)cc1,Representative; RDKit-parsable,RXNO:0000034,Mitsunobu reaction,A substitution where an alcohol is converted into something else. Typical reagents are a dialkyl azodicarboxylate and a triarylphosphine. The alcohol stereocentre is inverted.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 390",https://purl.obolibrary.org/obo/RXNO_0000034
189,Miyaura borylation,Miyaura borylation,392,No,,Reaction,Functional-group interconversion / method,Palladium-catalyzed reaction of aryl halides with diboron reagent to produce arylboronates.,Brc1ccccc1>>OB(O)c1ccccc1,Representative; RDKit-parsable,RXNO:0000659,Miyaura borylation,A chemical reaction that allows the generation of boronates from vinyl or aryl halides with the cross-coupling of bis(pinacolato)diboron under basic conditions.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 392",https://purl.obolibrary.org/obo/RXNO_0000659
190,Moffatt oxidation,Moffatt oxidation,394,No,,Reaction,Oxidation / alkene functionalization,"Oxidation of alcohols using DCC and DMSO, also known as “Pfitzner–Moffatt oxidation”.",OCc1ccccc1>>O=Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000184,Pfitzner-Moffatt oxidation,"The oxidation of a primary or secondary alcohol to the corresponding aldehyde or ketone respectively using dimethyl sulfoxide, 1,3-dicyclohexylcarbodiimide and acid. The reaction proceeds via an alkoxysulfonium ylide.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 394",https://purl.obolibrary.org/obo/RXNO_0000184
191,Montgomery coupling,Montgomery coupling,396,No,,Reaction,C–C bond formation / condensation / multicomponent,"Nickel-catalyzed reductive coupling of an aldehyde and an alkyne, with an organometallic or hydrosilane partner, to form an allylic alcohol.",O=Cc1ccccc1.CC#CC>>CC=C(C)C(O)c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 396",
192,Morgan–Walls reaction,Morgan–Walls reaction,399,No,,Reaction,Heterocycle synthesis,Phenanthridine cyclization by dehydrative ring closure of acyl-o-aminobiphenyls with phosphorus oxychloride in boiling nitrobenzene.,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 399",
193,Pictet–Hubert reaction,Pictet–Hubert phenanthridine synthesis,400,Yes,Morgan–Walls reaction,Reaction,Heterocycle synthesis,High-temperature Lewis-acid-promoted cyclodehydration of an acyl-o-aminobiphenyl to form a phenanthridine.,O=C(N)c1ccccc1-c1ccccc1>>c1ccc2nc3ccccc3cc2c1,Representative; RDKit-parsable,,,,"Listed as a subentry under the Morgan–Walls reaction. Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 400",
194,Mori–Ban indole synthesis,Mori–Ban indole synthesis,401,No,,Reaction,Heterocycle synthesis,Intramolecular Heck reaction of o-halo-aniline with pendant olefin to prepare indole.,C=Cc1ccccc1N>>c1ccc2[nH]ccc2c1,Representative; RDKit-parsable,RXNO:0000307,Mori-Ban indole synthesis,"An intramolecular Heck reaction of an ortho-halo-aniline with an alkene, catalysed by palladium.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 401",https://purl.obolibrary.org/obo/RXNO_0000307
195,Mukaiyama aldol reaction,Mukaiyama aldol reaction,403,No,,Reaction,C–C bond formation / condensation / multicomponent,Lewis acid-catalyzed aldol condensation of aldehyde and silyl enol ether.,C=C(O[Si](C)(C)C)C.O=Cc1ccccc1>>CC(=O)C(O)c1ccccc1,Representative; RDKit-parsable,RXNO:0000061,Mukaiyama aldol condensation,An aldol condensation between an aldehyde or ketone and a silyl enol ether (also known as a ketene silyl acetal) to give a beta-hydroxy carbonyl compound.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 403",https://purl.obolibrary.org/obo/RXNO_0000061
196,Mukaiyama Michael addition,Mukaiyama Michael addition,405,No,,Reaction,C–C bond formation / condensation / multicomponent,"Lewis acid-catalyzed Michael addition of silyl enol ether to α,β-unsaturated system.",C=C(O[Si](C)(C)C)C.C=CC(C)=O>>CC(=O)CCC(C)=O,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 405",
197,Mukaiyama reagent,Mukaiyama reagent,406,No,,Reagent/method,Functional-group interconversion / method,Dehydrative esterification or amidation using a 2-halopyridinium activating reagent such as Mukaiyama reagent.,O=C(O)c1ccccc1.CO>>COC(=O)c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 406",
198,Myers–Saito cyclization,Myers–Saito cyclization,408,No,,Reaction,Radical / photochemical,"Thermal cyclization of an enyne–allene to a 1,4-diradical, analogous to Bergman cyclization.",,Not encoded,RXNO:0000481,Myers-Saito cyclisation,Cyclization of a enynyl allene to yield a toluene biradical with radical centres on the methyl group and at the meta position.,,"Li, Name Reactions, 3rd ed. (2006), p. 408",https://purl.obolibrary.org/obo/RXNO_0000481
199,Nazarov cyclization,Nazarov cyclization,410,No,,Reaction,Cycloaddition / annulation / ring formation,Acid-catalyzed electrocyclic formation of cyclopentenone from di-vinyl ketone.,C=CC(=O)C=C>>O=C1C=CCC1,Representative; RDKit-parsable,RXNO:0000209,Nazarov cyclisation,The acid-catalysed cyclisation of a divinylketone to give a cyclopentenone.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 410",https://purl.obolibrary.org/obo/RXNO_0000209
200,Neber rearrangement,Neber rearrangement,412,No,,Reaction,Rearrangement / fragmentation,Base-induced rearrangement of an oxime sulfonate through an azirine intermediate to give an α-aminoketone.,CC(=NOS(=O)(=O)c1ccc(C)cc1)c1ccccc1>>NCC(=O)c1ccccc1,Representative; RDKit-parsable,RXNO:0000189,Neber rearrangement,The rearrangement of the sulfonic ester of a ketoxime in base to give an alpha-amino ketone.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 412",https://purl.obolibrary.org/obo/RXNO_0000189
201,Nef reaction,Nef reaction,414,No,,Reaction,Functional-group interconversion / method,Conversion of a primary or secondary nitroalkane into the corresponding carbonyl compound.,CC[N+](=O)[O-]>>CC=O,Representative; RDKit-parsable,RXNO:0000157,Nef reaction,"The conversion of a primary nitroalkane or secondary nitroalkane to an aldehyde or ketone, respectively.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 414",https://purl.obolibrary.org/obo/RXNO_0000157
202,Negishi cross-coupling reaction,Negishi cross-coupling reaction,416,No,,Reaction,Cross-coupling / organometallic coupling,"Palladium-catalyzed cross-coupling reaction of organozinc reagents with organic halides, triflates, etc.",Brc1ccccc1.CC[Zn]Br>>CCc1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 416",
203,Nenitzescu indole synthesis,Nenitzescu indole synthesis,418,No,,Reaction,Heterocycle synthesis,Condensation of p-benzoquinone with a β-aminocrotonate or related enamine to form a 5-hydroxyindole.,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 418",
204,Nicholas reaction,Nicholas reaction,420,No,,Reaction,C–C bond formation / condensation / multicomponent,"Nucleophilic substitution at a dicobalt-hexacarbonyl-stabilized propargyl cation, followed by oxidative decomplexation.",CC#CCO.CO>>CC#CCOC,Representative; RDKit-parsable,RXNO:0000114,Nicholas reaction,The reaction of a propargylic cation (stabilised with dicobalt octacarbonyl) with a nucleophile to give a substituted alkyne.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 420",https://purl.obolibrary.org/obo/RXNO_0000114
205,Nicolaou dehydrogenation,Nicolaou dehydrogenation,422,No,,Reaction,Oxidation / alkene functionalization,"IBX-mediated dehydrogenation of an aldehyde or ketone to the corresponding α,β-unsaturated carbonyl compound.",O=C1CCCCC1>>O=C1C=CCCC1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 422",
206,Nicolaou hydroxy-dithioketal cyclization,Nicolaou hydroxy-dithioketal cyclization,424,No,,Reaction,Cycloaddition / annulation / ring formation,Thionium-ion-mediated cyclization of a hydroxy dithioketal followed by desulfurization to construct a medium-ring ether.,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 424",
207,Nicolaou hydroxy-ketone reductive cyclic ether formation,Nicolaou hydroxy-ketone reductive cyclic ether formation,426,No,,Reaction,Cycloaddition / annulation / ring formation,Acid-catalyzed conversion of a ketone with a pendant hydroxyl group into a cyclic ether with net reduction of the carbonyl.,CC(=O)CCCO>>CC1CCCO1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 426",
208,Nicolaou oxyselenation,Nicolaou oxyselenation,428,No,,Reaction,Oxidation / alkene functionalization,"Electrophilic phenylselenation of an alkene followed by nucleophilic capture, providing vicinal oxyselenation products.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 428",
209,Noyori asymmetric hydrogenation,Noyori asymmetric hydrogenation,430,No,,Reaction,Reduction,Ruthenium–BINAP-catalyzed enantioselective hydrogenation of prochiral ketones or related unsaturated substrates.,CC(=O)c1ccccc1>>C[C@H](O)c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 430",
210,Nozaki–Hiyama–Kishi reaction,Nozaki–Hiyama–Kishi reaction,432,No,,Reaction,Cross-coupling / organometallic coupling,"Chromium(II)-mediated, often nickel-catalyzed, coupling of a vinyl or allyl halide with an aldehyde to form an allylic alcohol.",C=CCBr.O=Cc1ccccc1>>C=CCC(O)c1ccccc1,Representative; RDKit-parsable,RXNO:0000191,Nozaki-Hiyama-Kishi reaction,"A coupling reaction of an aldehyde to an allyl, vinyl or aryl halide or triflate in the presence of chromium(II). It is catalysed by nickel.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 432",https://purl.obolibrary.org/obo/RXNO_0000191
211,Oppenauer oxidation,Oppenauer oxidation,434,No,,Reaction,Oxidation / alkene functionalization,Transfer oxidation of a secondary alcohol to a ketone using an aluminium alkoxide and a sacrificial ketone acceptor.,OC1CCCCC1>>O=C1CCCCC1,Representative; RDKit-parsable,RXNO:0000047,Oppenauer oxidation,"An oxidation of a secondary alcohol to a ketone involving an equilibrium between the alcohol and a reagent ketone present in excess, catalysed by a metal alkoxide.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 434",https://purl.obolibrary.org/obo/RXNO_0000047
212,Overman rearrangement,Overman rearrangement,436,No,,Reaction,Rearrangement / fragmentation,Stereoselective transformation of allylic alcohol to allylic trichloroacetamide via trichloroacetimidate intermediate.,C=CCOC(=N)C(Cl)(Cl)Cl>>C=CCNC(=O)C(Cl)(Cl)Cl,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 436",
213,Paal thiophene synthesis,Paal thiophene synthesis,438,No,,Reaction,Heterocycle synthesis,"Thiophene synthesis from addition of a sulfur atom to 1,4-dicarbonyl compounds and subsequent dehydration.",CC(=O)CCC(C)=O>>Cc1ccc(C)s1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 438",
214,Paal–Knorr furan synthesis,Paal–Knorr furan synthesis,440,No,,Reaction,Heterocycle synthesis,"Acid-catalyzed cyclization of 1,4-ketones to form furans.",CC(=O)CCC(C)=O>>Cc1ccc(C)o1,Representative; RDKit-parsable,RXNO:0000162,Paal-Knorr furan synthesis,"The cyclisation of a 1,4-dicarbonyl compound with an acid catalyst to give a furan.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 440",https://purl.obolibrary.org/obo/RXNO_0000162
