name,smiles,motif_count,motifs,alt_motifs,error
Adiponitrile,N#CCCCCC#N,6,RCH2-CN / RCH2-CN / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CN / Alkyl-CN / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
Adipic Acid,O=C(O)CCCCC(=O)O,6,RCH2-CO2H / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CO2H / Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
1-Allyl-3-(2-hydroxyethyl)-2-thiourea,C=CCNC(=S)NCCO,4,Alkyl-C=CH2 / Allyl-NHR / RCH2-NHR / RCH2-OH,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C / RCH2-NHR / Alkyl-NHR / Alkyl-NHR / Alkyl-OH,
Allyl iodide,C=CCI,2,Alkyl-C=CH2 / Allyl-I,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C / RCH2-I / Alkyl-I / RCH2-X / Alkyl-X,
1-Allylimidazole,C=CCn1ccnc1,2,Alkyl-C=CH2 / Alkyl-AromN,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C,
3-Isocyanatoprop-1-ene,C=CCN=C=O,1,Alkyl-C=CH2,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C,
3-Aminobenzonitrile,N#Cc1cccc(N)c1,2,Ar-CN / Ar-NH2,,
4-Aminobenzonitrile,N#Cc1ccc(N)cc1,2,Ar-CN / Ar-NH2,,
2-Aminobenzophenone,Nc1ccccc1C(=O)c1ccccc1,2,Ar-COR / Ar-NH2,,
3-Aminobenzophenone,Nc1cccc(C(=O)c2ccccc2)c1,2,Ar-COR / Ar-NH2,,
4-Aminobenzophenone,Nc1ccc(C(=O)c2ccccc2)cc1,2,Ar-COR / Ar-NH2,,
2-Aminobenzothiazole,Nc1nc2ccccc2s1,2,Ar-NH2 / Thiazole,,
"5-Amino-1,3-benzothiazole",Nc1ccc2scnc2c1,2,Ar-NH2 / Thiazole,,
"4-Amino-2,1,3-benzothiadiazole",Nc1cccc2nsnc12,1,Ar-NH2,,
6-Aminobenzothiazole,Nc1ccc2ncsc2c1,2,Ar-NH2 / Thiazole,,
2-Amino-benzothiazole-6-carboxylic acid,Nc1nc2ccc(C(=O)O)cc2s1,3,Ar-CO2H / Ar-NH2 / Thiazole,,
"7-amino-2H-1,4-benzoxazin-3(4H)-one",Nc1ccc2c(c1)OCC(=O)N2,5,Ar-Amide / Ar-OR / Ar-NH2 / Alkyl-H-acidic / Alkyl-H-acidic,Ar-LactamN / RCH2-CONHR / Alkyl-CONHR / RCH2-OR / Alkyl-OR / Alkyl-H / Alkyl-H,
"1,3-Benzoxazol-6-amine",Nc1ccc2ncoc2c1,2,Ar-NH2 / Oxazole,,
2-Amino-4-(4-bromophenyl)thiazole,Nc1nc(-c2ccc(Br)cc2)cs1,4,Ar-NH2 / Ar-Br / Ar-Ar / Thiazole,Ar-X,
5-bromopyrazin-2-amine,Nc1cnc(Br)cn1,3,Ar-NH2 / Ar-Br / Pyrimidine,Ar-X,
2-Amino-3-bromopyridine,Nc1ncccc1Br,3,Ar-NH2 / Ar-Br / Pyridine,Ar-X,
2-Amino-4-bromopyridine,Nc1cc(Br)ccn1,3,Ar-NH2 / Ar-Br / Pyridine,Ar-X,
2-Amino-5-bromopyridine,Nc1ccc(Br)cn1,3,Ar-NH2 / Ar-Br / Pyridine,Ar-X,
3-amino-4-bromopyrazole,Nc1[nH]ncc1Br,4,Ar-NH2 / Ar-Br / AromN-H / Pyrazole,Ar-X,
2-Amino-6-bromopyridine,Nc1cccc(Br)n1,3,Ar-NH2 / Ar-Br / Pyridine,Ar-X,
3-Amino-2-bromopyridine,Nc1cccnc1Br,3,Ar-NH2 / Ar-Br / Pyridine,Ar-X,
3-Amino-5-bromopyridine,Nc1cncc(Br)c1,3,Ar-NH2 / Ar-Br / Pyridine,Ar-X,
4-Amino-2-bromopyridine,Nc1ccnc(Br)c1,3,Ar-NH2 / Ar-Br / Pyridine,Ar-X,
4-Amino-3-bromopyridine,Nc1ccncc1Br,3,Ar-NH2 / Ar-Br / Pyridine,Ar-X,
3-Amino-6-bromopyridine,Nc1ccc(Br)nc1,3,Ar-NH2 / Ar-Br / Pyridine,Ar-X,
2-Amino-5-bromopyrimidine,Nc1ncc(Br)cn1,3,Ar-NH2 / Ar-Br / Pyrimidine,Ar-X,
4-Amino-2-bromo-5-cyanopyrimidine,N#Cc1cnc(Br)nc1N,4,Ar-CN / Ar-NH2 / Ar-Br / Pyrimidine,Ar-X,
3-Bromo-5-(trifluoromethyl)pyridin-2-amine,Nc1ncc(C(F)(F)F)cc1Br,4,Ar-CF3 / Ar-NH2 / Ar-Br / Pyridine,Ar-R / Alkyl-F / Alkyl-X / Ar-X,
5-bromo-3-(trifluoromethyl)pyridin-2-amine,Nc1ncc(Br)cc1C(F)(F)F,4,Ar-CF3 / Ar-NH2 / Ar-Br / Pyridine,Ar-R / Alkyl-F / Alkyl-X / Ar-X,
sec-butylamine,CCC(C)N,1,R2CH-NH2,Alkyl-NH2,
2-Amino-5-bromothiazole monohydrobromide,Nc1ncc(Br)s1,3,Ar-NH2 / Ar-Br / Thiazole,Ar-X,
(R)-(-)-2-Amino-1-butanol,CCC(N)CO,2,R2CH-NH2 / RCH2-OH,Alkyl-NH2 / Alkyl-OH,
4-Amino-1-butanol,NCCCCO,2,RCH2-NH2 / RCH2-OH,Alkyl-NH2 / Alkyl-OH,
2-amino-N-(sec-butyl)benzamide,CCC(C)NC(=O)c1ccccc1N,3,Ar-CONHR / Ar-NH2 / Alkyl-NCOR,,
5-Amino-3-(tert-butyl)-1-methyl-1H-pyrazole,Cn1nc(C(C)(C)C)cc1N,3,Ar-NH2 / Ar-R / Alkyl-AromN,,
2-Amino-4-tert-butylphenol,CC(C)(C)c1ccc(O)c(N)c1,3,Ar-NH2 / Ar-OH / Ar-R,,
2-Amino-5-chloro-3-nitropyridine,Nc1ncc(Cl)cc1[N+](=O)[O-],4,Ar-NO2 / Ar-NH2 / Ar-Cl / Pyridine,Ar-NR2 / Ar-X,
3-Amino-5-tert-butylisoxazole,CC(C)(C)c1cc(N)no1,2,Ar-NH2 / Ar-R,,
2-Amino-4-chlorophenol,Nc1cc(Cl)ccc1O,3,Ar-NH2 / Ar-OH / Ar-Cl,Ar-X,
4-Amino-2-chlorophenol,Nc1ccc(O)c(Cl)c1,3,Ar-NH2 / Ar-OH / Ar-Cl,Ar-X,
4-Amino-3-chlorophenol Hydrochloride,Nc1ccc(O)cc1Cl,3,Ar-NH2 / Ar-OH / Ar-Cl,Ar-X,
1-(4-Chlorophenyl)-3-methyl-1H-pyrazol-5-ylamine,Cc1cc(N)n(-c2ccc(Cl)cc2)n1,4,Ar-AromN / Ar-NH2 / Ar-R / Ar-Cl,Ar-X,
(3R)-3-amino-4-(2-chlorophenyl)butanoic acid hydrochloride,NC(CC(=O)O)Cc1ccccc1Cl,6,Ar-R / Ar-Cl / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / R2CH-NH2,Ar-X / Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-NH2,
3-amino-3-(2-chlorophenyl)propionic acid,NC(CC(=O)O)c1ccccc1Cl,6,Ar-R / Ar-Cl / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / R2CH-NH2,Ar-X / Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-NH2,
DL-?-(3-Chlorophenyl)alanine,NC(CC(=O)O)c1cccc(Cl)c1,6,Ar-R / Ar-Cl / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / R2CH-NH2,Ar-X / Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-NH2,
3-amino-3-(4-chlorophenyl)propionic acid,NC(CC(=O)O)c1ccc(Cl)cc1,6,Ar-R / Ar-Cl / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / R2CH-NH2,Ar-X / Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-NH2,
5-Amino-3-(4-chlorophenyl)-1H-pyrazole,Nc1cc(-c2ccc(Cl)cc2)[nH]n1,5,Ar-NH2 / Ar-Cl / Ar-Ar / AromN-H / Pyrazole,Ar-X,
5-Amino-1-(2-chlorophenyl)-1H-pyrazole-4-carbonitrile,N#Cc1cnn(-c2ccccc2Cl)c1N,4,Ar-CN / Ar-AromN / Ar-NH2 / Ar-Cl,Ar-X,
5-Amino-1-(3-chlorophenyl)-1H-pyrazole-4-carbonitrile,N#Cc1cnn(-c2cccc(Cl)c2)c1N,4,Ar-CN / Ar-AromN / Ar-NH2 / Ar-Cl,Ar-X,
1-(4-chlorophenyl)pyrazol-3-amine,Nc1ccn(-c2ccc(Cl)cc2)n1,3,Ar-AromN / Ar-NH2 / Ar-Cl,Ar-X,
5-Amino-1-(4-chlorophenyl)-1H-pyrazole-4-carbonitrile,N#Cc1cnn(-c2ccc(Cl)cc2)c1N,4,Ar-CN / Ar-AromN / Ar-NH2 / Ar-Cl,Ar-X,
"5-(4-chlorophenyl)-1,2,4-thiadiazol-3-amine",Nc1nsc(-c2ccc(Cl)cc2)n1,3,Ar-NH2 / Ar-Cl / Ar-Ar,Ar-X,
"3-(4-chlorophenyl)-1,2,4-thiadiazol-5-amine",Nc1nc(-c2ccc(Cl)cc2)ns1,3,Ar-NH2 / Ar-Cl / Ar-Ar,Ar-X,
4-(4-chlorophenyl)thiazol-2-amine,Nc1nc(-c2ccc(Cl)cc2)cs1,4,Ar-NH2 / Ar-Cl / Ar-Ar / Thiazole,Ar-X,
2-Amino-6-chloropurine,Nc1nc(Cl)c2[nH]cnc2n1,5,Ar-NH2 / Ar-Cl / AromN-H / Pyrimidine / Imidazole,Ar-X,
3-Chloropyrazin-2-amine,Nc1nccnc1Cl,3,Ar-NH2 / Ar-Cl / Pyrimidine,Ar-X,
6-Chloropyridazin-3-amine,Nc1ccc(Cl)nn1,2,Ar-NH2 / Ar-Cl,Ar-X,
3-chloropyridin-2-amine,Nc1ncccc1Cl,3,Ar-NH2 / Ar-Cl / Pyridine,Ar-X,
5-chloropyridin-2-amine,Nc1ccc(Cl)cn1,3,Ar-NH2 / Ar-Cl / Pyridine,Ar-X,
6-chloropyridin-2-amine,Nc1cccc(Cl)n1,3,Ar-NH2 / Ar-Cl / Pyridine,Ar-X,
3-Amino-2-chloropyridine,Nc1cccnc1Cl,3,Ar-NH2 / Ar-Cl / Pyridine,Ar-X,
2-Amino-4-chloropyridine,Nc1cc(Cl)ccn1,3,Ar-NH2 / Ar-Cl / Pyridine,Ar-X,
3-Amino-4-chloropyridine,Nc1cnccc1Cl,3,Ar-NH2 / Ar-Cl / Pyridine,Ar-X,
3-Amino-5-chloropyridine,Nc1cncc(Cl)c1,3,Ar-NH2 / Ar-Cl / Pyridine,Ar-X,
4-Amino-2-chloropyridine,Nc1ccnc(Cl)c1,3,Ar-NH2 / Ar-Cl / Pyridine,Ar-X,
3-chloropyridin-4-amine,Nc1ccncc1Cl,3,Ar-NH2 / Ar-Cl / Pyridine,Ar-X,
5-Amino-2-chloropyridine,Nc1ccc(Cl)nc1,3,Ar-NH2 / Ar-Cl / Pyridine,Ar-X,
"3-Amino-2,5-dichloropyridine",Nc1cc(Cl)cnc1Cl,4,Ar-NH2 / Ar-Cl / Ar-Cl / Pyridine,Ar-X / Ar-X,
"3-Amino-2,6-dichloropyridine",Nc1ccc(Cl)nc1Cl,4,Ar-NH2 / Ar-Cl / Ar-Cl / Pyridine,Ar-X / Ar-X,
2-Amino-4-ethylpyridine,CCc1ccnc(N)c1,3,Ar-NH2 / Ar-R / Pyridine,,
3-(2-Aminoethyl)pyridine,NCCc1cccnc1,3,Ar-R / RCH2-NH2 / Pyridine,Alkyl-NH2,
4-(2-Aminoethyl)pyridine,NCCc1ccncc1,3,Ar-R / RCH2-NH2 / Pyridine,Alkyl-NH2,
N-(2-Aminoethyl)pyrrolidine,NCCN1CCCC1,2,RCH2-NR2 / RCH2-NH2,Alkyl-NR2 / Alkyl-NH2,
2-Amino-6-ethylpyridine,CCc1cccc(N)n1,3,Ar-NH2 / Ar-R / Pyridine,,
"2-Amino-5-ethyl-1,3,4-thiadiazole",CCc1nnc(N)s1,2,Ar-NH2 / Ar-R,,
"2-Amino-5-ethylthio-1,3,4-thiadiazole",CCSc1nnc(N)s1,2,Ar-SR / Ar-NH2,RCH2-SR / Alkyl-SR,
2-Aminofluorene,Nc1ccc2c(c1)Cc1ccccc1-2,3,Ar-NH2 / Ar-R / Ar-Ar,,
9-Aminofluorene Hydrochloride,NC1c2ccccc2-c2ccccc21,3,Ar-R / Ar-Ar / R2CH-NH2,Alkyl-NH2,
1-Amino-9-fluorenone,Nc1cccc2c1C(=O)c1ccccc1-2,3,Ar-COR / Ar-NH2 / Ar-Ar,,
2-Amino-9-fluorenone,Nc1ccc2c(c1)C(=O)c1ccccc1-2,3,Ar-COR / Ar-NH2 / Ar-Ar,,
"3-fluoro-4-(tetramethyl-1,3,2-dioxaborolan-2-yl)aniline",CC1(C)OB(c2ccc(N)cc2F)OC1(C)C,3,Ar-Bpin / Ar-NH2 / Ar-F,Ar-B(OR)2 / Ar-X,
"2-fluoro-4-(tetramethyl-1,3,2-dioxaborolan-2-yl)aniline",CC1(C)OB(c2ccc(N)c(F)c2)OC1(C)C,3,Ar-Bpin / Ar-NH2 / Ar-F,Ar-B(OR)2 / Ar-X,
4-Amino-3-fluorobenzoic acid,Nc1ccc(C(=O)O)cc1F,3,Ar-CO2H / Ar-NH2 / Ar-F,Ar-X,
5-Amino-2-fluorobenzoic acid,Nc1ccc(F)c(C(=O)O)c1,3,Ar-CO2H / Ar-NH2 / Ar-F,Ar-X,
4-Amino-2-fluorobenzoic acid,Nc1ccc(C(=O)O)c(F)c1,3,Ar-CO2H / Ar-NH2 / Ar-F,Ar-X,
2-Amino-6-fluorobenzonitrile,N#Cc1c(N)cccc1F,3,Ar-CN / Ar-NH2 / Ar-F,Ar-X,
3-amino-4-fluorobenzonitrile,N#Cc1ccc(F)c(N)c1,3,Ar-CN / Ar-NH2 / Ar-F,Ar-X,
4-Amino-3-fluorobenzonitrile,N#Cc1ccc(N)c(F)c1,3,Ar-CN / Ar-NH2 / Ar-F,Ar-X,
5-Amino-2-fluorobenzonitrile,N#Cc1cc(N)ccc1F,3,Ar-CN / Ar-NH2 / Ar-F,Ar-X,
2-Amino-5-fluorobenzothiazole,Nc1nc2cc(F)ccc2s1,3,Ar-NH2 / Ar-F / Thiazole,Ar-X,
2-Amino-6-fluorobenzothiazole,Nc1nc2ccc(F)cc2s1,3,Ar-NH2 / Ar-F / Thiazole,Ar-X,
2-Amino-4-fluorophenol,Nc1cc(F)ccc1O,3,Ar-NH2 / Ar-OH / Ar-F,Ar-X,
2-Amino-3-nitro-6-(4-fluorobenzylamino)pyridine,Nc1nc(NCc2ccc(F)cc2)ccc1[N+](=O)[O-],7,Ar-NO2 / Ar-NH2 / Ar-NHR / Ar-R / Ar-F / Bn-NHR / Pyridine,Ar-NR2 / Ar-X / RCH2-NHR / Alkyl-NHR,
2-Amino-5-fluorophenol,Nc1ccc(F)cc1O,3,Ar-NH2 / Ar-OH / Ar-F,Ar-X,
4-Amino-2-fluorophenol,Nc1ccc(O)c(F)c1,3,Ar-NH2 / Ar-OH / Ar-F,Ar-X,
4-Amino-3-fluorophenol,Nc1ccc(O)cc1F,3,Ar-NH2 / Ar-OH / Ar-F,Ar-X,
2-amino-1-(2-fluorophenyl)ethanol,NCC(O)c1ccccc1F,4,Ar-R / Ar-F / R2CH-OH / RCH2-NH2,Ar-X / Alkyl-OH / Alkyl-NH2,
(3S)-3-amino-3-(2-fluorophenyl)propanoic acid,NC(CC(=O)O)c1ccccc1F,6,Ar-R / Ar-F / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / R2CH-NH2,Ar-X / Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-NH2,
"phenol, 5-amino-2-fluoro-",Nc1ccc(F)c(O)c1,3,Ar-NH2 / Ar-OH / Ar-F,Ar-X,
(3S)-3-amino-3-(3-fluorophenyl)propanoic acid,NC(CC(=O)O)c1cccc(F)c1,6,Ar-R / Ar-F / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / R2CH-NH2,Ar-X / Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-NH2,
3-Amino-3-(4-fluorophenyl)propanoic acid,NC(CC(=O)O)c1ccc(F)cc1,6,Ar-R / Ar-F / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / R2CH-NH2,Ar-X / Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-NH2,
5-Amino-3-(4-fluorophenyl)-1H-pyrazole,Nc1cc(-c2ccc(F)cc2)[nH]n1,5,Ar-NH2 / Ar-Ar / Ar-F / AromN-H / Pyrazole,Ar-X,
2-Aminoindane hydrochloride,NC1Cc2ccccc2C1,3,Ar-R / Ar-R / R2CH-NH2,Alkyl-NH2,
"(1S,2R)-1-Amino-2,3-dihydro-1H-inden-2-ol",C1C(C(C2=CC=CC=C21)N)O,4,Ar-R / Ar-R / R2CH-NH2 / R2CH-OH,Alkyl-NH2 / Alkyl-OH,
1H-Indazol-3-ylamine,Nc1[nH]nc2ccccc12,3,Ar-NH2 / AromN-H / Pyrazole,,
5-Aminoindan,Nc1ccc2c(c1)CCC2,3,Ar-NH2 / Ar-R / Ar-R,,
5-Aminoindazole,Nc1ccc2[nH]ncc2c1,3,Ar-NH2 / AromN-H / Pyrazole,,
4-Aminoindole,Nc1cccc2[nH]ccc12,3,Ar-NH2 / AromN-H / Indole,Pyrrole,
7-Amino-1H-indazole,Nc1cccc2c[nH]nc12,3,Ar-NH2 / AromN-H / Pyrazole,,
6-Aminoindole,Nc1ccc2cc[nH]c2c1,3,Ar-NH2 / AromN-H / Indole,Pyrrole,
5-Phenyl-o-toluidine,Cc1ccc(-c2ccccc2)cc1N,3,Ar-NH2 / Ar-R / Ar-Ar,,
tert-butyl N-[5-(aminomethyl)pyridin-2-yl]carbamate,CC(C)(C)OC(=O)Nc1ccc(CN)cn1,4,Ar-Carbamate / Ar-R / Bn-NH2 / Pyridine,RCH2-NH2 / Alkyl-NH2,
3-(Aminomethyl)-1-N-Boc-piperidine,CC(C)(C)OC(=O)N1CCCC(CN)C1,2,Alkyl-Carbamate / RCH2-NH2,Alkyl-NH2,
2-(Aminomethyl)-1-N-Boc-piperidine,CC(C)(C)OC(=O)N1CCCCC1CN,2,Alkyl-Carbamate / RCH2-NH2,Alkyl-NH2,
1-Boc-4-(aminomethyl)piperidine,CC(C)(C)OC(=O)N1CCC(CN)CC1,2,Alkyl-Carbamate / RCH2-NH2,Alkyl-NH2,
"(R)-2-(Aminomethyl)pyrrolidine, N1-BOC protected",CC(C)(C)OC(=O)N1CCCC1CN,2,Alkyl-Carbamate / RCH2-NH2,Alkyl-NH2,
(R)-(-)-2-Amino-3-methylbutane,CC(C)C(C)N,1,R2CH-NH2,Alkyl-NH2,
4-Aminomethyl-1-N-butylpiperidine,CCCCN1CCC(CN)CC1,2,RCH2-NR2 / RCH2-NH2,Alkyl-NR2 / Alkyl-NH2,
5-(Aminomethyl)-2-chloropyridine,NCc1ccc(Cl)nc1,4,Ar-R / Ar-Cl / Bn-NH2 / Pyridine,Ar-X / RCH2-NH2 / Alkyl-NH2,
7-Amino-4-methylcoumarin,Cc1cc(=O)oc2cc(N)ccc12,2,Ar-NH2 / Ar-R,,
Tranexamic acid,NCC1CCC(C(=O)O)CC1,3,R2CH-CO2H / Alkyl-H-acidic / RCH2-NH2,Alkyl-CO2H / Alkyl-H / Alkyl-NH2,
"(R)-(+)-2-amino-3-methyl-1,1-diphenyl-1-butanol hydrochloride",CC(C)C(N)C(O)(c1ccccc1)c1ccccc1,3,Ar-R / R2CH-NH2 / R3C-OH,Alkyl-NH2 / Alkyl-OH,
"6'-Amino-3',4'-(methylenedioxy)acetophenone",CC(=O)c1cc2c(cc1N)OCO2,7,Ar-COR / Ar-OR / Ar-OR / Ar-NH2 / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-COR / RCH2-OR / Alkyl-OR / RCH2-OR / Alkyl-OR / Alkyl-H / Alkyl-H / Alkyl-H,
(R)-(+)-2-Aminomethyl-1-ethylpyrrolidine,CCN1CCCC1CN,3,R2CH-NR2 / RCH2-NR2 / RCH2-NH2,Alkyl-NR2 / Alkyl-NR2 / Alkyl-NH2,
2-(aminomethyl)-4-fluorophenylboronic acid hydrochloride,NCc1cc(F)ccc1B(O)O,4,Ar-B(OH)2 / Ar-R / Ar-F / Bn-NH2,Ar-X / RCH2-NH2 / Alkyl-NH2,
2-(Aminomethyl)-5-fluorobenzeneboronic acid hydrochloride,NCc1ccc(F)cc1B(O)O,4,Ar-B(OH)2 / Ar-R / Ar-F / Bn-NH2,Ar-X / RCH2-NH2 / Alkyl-NH2,
"1,5-Dimethylhexylamine",CC(C)CCCC(C)N,1,R2CH-NH2,Alkyl-NH2,
1-methyl-1H-imidazol-2-amine,Cn1ccnc1N,2,Ar-NH2 / Alkyl-AromN,,
1-methylindazol-3-amine,Cn1nc(N)c2ccccc21,2,Ar-NH2 / Alkyl-AromN,,
(1H-indol-2-ylmethyl)amine,NCc1cc2ccccc2[nH]1,4,Ar-R / AromN-H / Bn-NH2 / Indole,RCH2-NH2 / Alkyl-NH2 / Pyrrole,
"1,4-dimethylpentylamine",CC(C)CCC(C)N,1,R2CH-NH2,Alkyl-NH2,
(1H-indol-4-ylmethyl)amine,NCc1cccc2[nH]ccc12,4,Ar-R / AromN-H / Bn-NH2 / Indole,RCH2-NH2 / Alkyl-NH2 / Pyrrole,
5-Amino-2-methylindole,Cc1cc2cc(N)ccc2[nH]1,4,Ar-NH2 / Ar-R / AromN-H / Indole,Pyrrole,
1H-indol-6-ylmethanamine,NCc1ccc2cc[nH]c2c1,4,Ar-R / AromN-H / Bn-NH2 / Indole,RCH2-NH2 / Alkyl-NH2 / Pyrrole,
5-Amino-3-methylisoxazole,Cc1cc(N)on1,2,Ar-NH2 / Ar-R,,
2-Amino-3-methyl-5-nitropyridine,Cc1cc([N+](=O)[O-])cnc1N,4,Ar-NO2 / Ar-NH2 / Ar-R / Pyridine,Ar-NR2,
2-Amino-4-methyl-3-nitropyridine,Cc1ccnc(N)c1[N+](=O)[O-],4,Ar-NO2 / Ar-NH2 / Ar-R / Pyridine,Ar-NR2,
2-Amino-4-methyl-5-nitropyridine,Cc1cc(N)ncc1[N+](=O)[O-],4,Ar-NO2 / Ar-NH2 / Ar-R / Pyridine,Ar-NR2,
3-methyloxetan-3-amine,CC1(N)COC1,2,RCH2-OR / R3C-NH2,Alkyl-OR / Alkyl-NH2,
(S)-(-)-alpha-Allylalanine,C=CCC(C)(N)C(=O)O,3,Alkyl-C=CH2 / R3C-CO2H / R3C-NH2,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C / Alkyl-CO2H / Alkyl-NH2,
2-Amino-p-cresol,Cc1ccc(O)c(N)c1,3,Ar-NH2 / Ar-OH / Ar-R,,
6-Amino-m-cresol,Cc1ccc(N)c(O)c1,3,Ar-NH2 / Ar-OH / Ar-R,,
4-Amino-3-methylphenol,Cc1cc(O)ccc1N,3,Ar-NH2 / Ar-OH / Ar-R,,
"benzoic acid, 2-amino-5-(2-methylphenoxy)-",Cc1ccccc1Oc1ccc(N)c(C(=O)O)c1,4,Ar-OAr / Ar-CO2H / Ar-NH2 / Ar-R,Ar-OR,
(3S)-3-amino-3-(2-methylphenyl)propanoic acid,Cc1ccccc1C(N)CC(=O)O,6,Ar-R / Ar-R / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / R2CH-NH2,Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-NH2,
1-Amino-2-naphthol Hydrochloride,Nc1c(O)ccc2ccccc12,2,Ar-NH2 / Ar-OH,,
4-Amino-1-naphthol hydrochloride,Nc1ccc(O)c2ccccc12,2,Ar-NH2 / Ar-OH,,
4-Naphthalen-1-Yl-Thiazol-2-Ylamine,Nc1nc(-c2cccc3ccccc23)cs1,3,Ar-NH2 / Ar-Ar / Thiazole,,
4-Naphthalen-2-Yl-Thiazol-2-Ylamine,Nc1nc(-c2ccc3ccccc3c2)cs1,3,Ar-NH2 / Ar-Ar / Thiazole,,
6-amino-N-hydroxypyridine-3-carboximidamide,NC(=NO)c1ccc(N)nc1,3,Ar-Imino / Ar-NH2 / Pyridine,,
2-Aminonicotinic acid,Nc1ncccc1C(=O)O,3,Ar-CO2H / Ar-NH2 / Pyridine,,
4-Aminonicotinic acid,Nc1ccncc1C(=O)O,3,Ar-CO2H / Ar-NH2 / Pyridine,,
6-Aminonicotinamide,NC(=O)c1ccc(N)nc1,3,Ar-CONH2 / Ar-NH2 / Pyridine,,
6-Aminonicotinic acid,Nc1ccc(C(=O)O)cn1,3,Ar-CO2H / Ar-NH2 / Pyridine,,
2-amino-1-(3-nitrophenyl)ethanone hydrochloride,NCC(=O)c1cccc([N+](=O)[O-])c1,5,Ar-NO2 / Ar-COR / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-NH2,Ar-NR2 / RCH2-COR / Alkyl-COR / Alkyl-H / Alkyl-H / Alkyl-NH2,
4-amino-3-nitrobenzamide,NC(=O)c1ccc(N)c([N+](=O)[O-])c1,3,Ar-CONH2 / Ar-NO2 / Ar-NH2,Ar-NR2,
3-amino-5-nitrophenylboronic acid hydrochloride,Nc1cc(B(O)O)cc([N+](=O)[O-])c1,3,Ar-B(OH)2 / Ar-NO2 / Ar-NH2,Ar-NR2,
"3-nitro-5-(tetramethyl-1,3,2-dioxaborolan-2-yl)aniline",CC1(C)OB(c2cc(N)cc([N+](=O)[O-])c2)OC1(C)C,3,Ar-Bpin / Ar-NO2 / Ar-NH2,Ar-B(OR)2 / Ar-NR2,
2-Amino-3-nitrobenzoic acid,Nc1c(C(=O)O)cccc1[N+](=O)[O-],3,Ar-CO2H / Ar-NO2 / Ar-NH2,Ar-NR2,
3-Amino-5-nitrobenzoic acid,Nc1cc(C(=O)O)cc([N+](=O)[O-])c1,3,Ar-CO2H / Ar-NO2 / Ar-NH2,Ar-NR2,
5-Amino-2-nitrobenzoic Acid,Nc1ccc([N+](=O)[O-])c(C(=O)O)c1,3,Ar-CO2H / Ar-NO2 / Ar-NH2,Ar-NR2,
2-Amino-5-nitrobenzonitrile,N#Cc1cc([N+](=O)[O-])ccc1N,3,Ar-NO2 / Ar-CN / Ar-NH2,Ar-NR2,
4-Amino-3-nitrobenzoic Acid,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],3,Ar-CO2H / Ar-NO2 / Ar-NH2,Ar-NR2,
4-Amino-3-nitrobenzonitrile,N#Cc1ccc(N)c([N+](=O)[O-])c1,3,Ar-NO2 / Ar-CN / Ar-NH2,Ar-NR2,
4-Amino-3-nitrobenzophenone,Nc1ccc(C(=O)c2ccccc2)cc1[N+](=O)[O-],3,Ar-NO2 / Ar-COR / Ar-NH2,Ar-NR2,
2-amino-5-nitrobenzophenone,Nc1ccc([N+](=O)[O-])cc1C(=O)c1ccccc1,3,Ar-NO2 / Ar-COR / Ar-NH2,Ar-NR2,
2-Amino-3-nitrophenol,Nc1c(O)cccc1[N+](=O)[O-],3,Ar-NO2 / Ar-NH2 / Ar-OH,Ar-NR2,
2-Amino-6-nitrobenzothiazole,Nc1nc2ccc([N+](=O)[O-])cc2s1,3,Ar-NO2 / Ar-NH2 / Thiazole,Ar-NR2,
