Level1 Level2 Level3=SMARTS_RX SMARTS_RX_SMARTS
Amine Amine_Aliphatic Amine_AcyclicSecondary_UnsaturatedAliphatic-UnsaturatedAliphatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([$(C=C),$(C#C),$(C#N);!$(a)])[$(C=C),$(C#C),$(C#N);!$(a)])]
Amine Amine_Aromatic Amine_AcyclicSecondary_UnsaturatedAliphatic-Aromatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([$(C=C),$(C#C),$(C#N);!$(a)])[$([c;$(c1ccccc1)]),$([c;$(c1cccc1)])])]
Amine Amine_Heteroaromatic Amine_AcyclicSecondary_UnsaturatedAliphatic-Heteroaromatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([$(C=C),$(C#C),$(C#N);!$(a)])[$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1)]);!$([c;$(c1ccccc1)]);!$([c;$(c1cccc1)])])]
Amine Amine_Aromatic Amine_AcyclicSecondary_Aromatic-Aromatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([$([c;$(c1ccccc1)]),$([c;$(c1cccc1)])])[$([c;$(c1ccccc1)]),$([c;$(c1cccc1)])])]
Amine Amine_Heteroaromatic Amine_AcyclicSecondary_Aromatic-Heteroaromatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([$([c;$(c1ccccc1)]),$([c;$(c1cccc1)])])[$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1)]);!$([c;$(c1ccccc1)]);!$([c;$(c1cccc1)])])]
Amine Amine_Heteroaromatic Amine_AcyclicSecondary_Heteroaromatic-Heteroaromatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1)]);!$([c;$(c1ccccc1)]);!$([c;$(c1cccc1)])])[$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1)]);!$([c;$(c1ccccc1)]);!$([c;$(c1cccc1)])])]
Amine Amine_Aliphatic Amine_CyclicSecondary_SaturatedAliphatic-SaturatedAliphatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2]([!$(C=C);!$(C#C);!$(C#N);!$(a)])[!$(C=C);!$(C#C);!$(C#N);!$(a)])]
Amine Amine_Aliphatic Amine_CyclicSecondary_SaturatedAliphatic-UnsaturatedAliphatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);R;D2;$([N;X3;!+;!-;!$(N=*);R;D2]([!$(C=C);!$(C#C);!$(C#N);!$(a)])[$(C=N),$(C=C),$(C#C),$(C#N);!$(a)])]
Amine Amine_Aromatic Amine_CyclicSecondary_SaturatedAliphatic-Aromatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2]([!$(C=C);!$(C#C);!$(C#N);!$(a)])[$([c;$(c1ccccc1)]),$([c;$(c1cccc1)])])]
Amine Amine_Heteroaromatic Amine_CyclicSecondary_SaturatedAliphatic-Heteroaromatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2]([!$(C=C);!$(C#C);!$(C#N);!$(a)])[$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1)]);!$([c;$(c1ccccc1)]);!$([c;$(c1cccc1)])])]
Amine Amine_Aliphatic Amine_CyclicSecondary_UnsaturatedAliphatic-UnsaturatedAliphatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2]([$(C=C),$(C#C),$(C#N);!$(a)])[$(C=C),$(C#C),$(C#N);!$(a)])]
Amine Amine_Aromatic Amine_CyclicSecondary_UnsaturatedAliphatic-Aromatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2]([$(C=C),$(C#C),$(C#N);!$(a)])[$([c;$(c1ccccc1)]),$([c;$(c1cccc1)])])]
Amine Amine_Heteroaromatic Amine_CyclicSecondary_UnsaturatedAliphatic-Heteroaromatic [N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2]([$(C=C),$(C#C),$(C#N);!$(a)])[$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1)]);!$([c;$(c1ccccc1)]);!$([c;$(c1cccc1)])])]
Amine Amine_Aromatic Amine_CyclicSecondary_Aromatic-Aromatic [#7;X3;!+;!-;!$([#7]=*);$([#7;!$([#7]~[*;!#6])]);!$([#7][*]=[*;O,S,P,N]);R;D2;$([#7;X3;!+;!-;!$([#7]=*);$([#7;!$([#7]~[*;!#6])]);!$([#7][*]=[*;O,S,P,N]);R;D2]([$([c;$(c1ccccc1)]),$([c;$(c1cccc1)])])[$([c;$(c1ccccc1)]),$([c;$(c1cccc1)])])]
Amine Amine_Heteroaromatic Amine_CyclicSecondary_Aromatic-Heteroaromatic [N;X3;!+;!-;!$([#7]=*);$([#7;!$([#7]~[*;!#6])]);!$([#7][*]=[*;O,S,P,N]);R;D2;$([#7;X3;!+;!-;!$([#7]=*);$([#7;!$([#7]~[*;!#6])]);!$([#7][*]=[*;O,S,P,N]);R;D2]([$([c;$(c1ccccc1)]),$([c;$(c1cccc1)])])[$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1)]);!$([c;$(c1ccccc1)]);!$([c;$(c1cccc1)])])]
Amine Amine_Heteroaromatic Amine_CyclicSecondary_Heteroaromatic-Heteroaromatic [N;X3;!+;!-;!$([#7]=*);$([#7;!$([#7]~[*;!#6])]);!$([#7][*]=[*;O,S,P,N]);R;D2;$([#7;X3;!+;!-;!$([#7]=*);$([#7;!$([#7]~[*;!#6])]);!$([#7][*]=[*;O,S,P,N]);R;D2]([$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1a)]);!$([c;$(c1ccccc1)]);!$([c;$(c1cccc1)])])[$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1)]);!$([c;$(c1ccccc1)]);!$([c;$(c1cccc1)])])]
AmineT AromaticTertiaryAmine AromaticTertiaryAmine [N;D3;$(N(a)(a)[a])]
AmineT AliphaticTertiaryAmine AliphaticTertiaryAmine [N;D3;!$(N[*]=[*;O,S,P,N]);$(N([A;#6])([A;#6])[A;#6])]
AmineT MixTertiaryAmine MixTertiaryAmine [N;D3;!$(N[*]=[*;O,S,P,N]);$(N(a)([A;#6])[a,A;#6])]
Hydrazine HydrazineTerminalAromatic HydrazineTerminalAromatic [N;D1;$(NN[a])]
Hydrazine HydrazineTerminalAliphatic HydrazineTerminalAliphatic [N;D1;!$([N;D1][N;D2]C(=[O,S]));$(N[N;D1]),$(N[N;D2][A]),$(N[N;D3]([A])[A])]
Hydrazine HydrazineTerminalCarbamoyl HydrazineTerminalCarbamoyl [N;!R;D1;$(N[N;!R;D2]C(=[O,S]))]
Hydrazine HydrazineNonTerminalAromatic HydrazineNonTerminalAromatic [N;!R;$(N([a])[N;!R][a])]
Hydrazine HydrazineNonTerminalAliphatic HydrazineNonTerminalAliphatic [N;!R;$([N;!R;D2]([A])[N;!R;D2][A]),$([N;!R;D3]([A])([A])[N;!R;D2][A]),$([N;!R;D3]([A])([A])[N;!R;D3]([A])[A]),$([N;!R;D2]([A])[N;!R;D3]([A])[A])]
Hydrazine HydrazineNonTerminalMix HydrazineNonTerminalMix [N;!R;$(N([a])[N;!R][A])]
HydroxyAmidine HydroxyAmidine HydroxyAmidine [O;D1;$(ON=[C;D3][N;D1])]
Hydroxylamine HydroxylamineAromatic HydroxylamineAromatic [N;!R;D2;!+;!$(N=*);$([N;!R]([a])[O;D1])]
Hydroxylamine HydroxylamineAliphatic HydroxylamineAliphatic [N;!R;!+;!$(N=*);$([N;D2;!$(*=*);!$(N[a])][O;D1])]
Hydroxylamine SubstitutedHydroxylamineAromatic SubstitutedHydroxylamineAromatic [N;!R;D2;!+;!$(N=*);$(N([a])[O;!R;D2])]
Hydroxylamine SubstitutedHydroxylamineAliphatic SubstitutedHydroxylamineAliphatic [N;!R;!+;!$(N=*);$([N;!R;D1,D2;!$(*=*);!$(N[a])][O;!R;D2])]
Grignard Grignard_Aliphatic Grignard_SaturatedAliphatic [Mg;$([Mg][F,Cl,Br,I]);$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)])]
Grignard Grignard_Aliphatic Grignard_UnsaturatedAliphatic [Mg;$([Mg][F,Cl,Br,I]);$([$(*C=C),$(*C#C),$(*C#N);!$(*a)])]
Grignard Grignard_Aromatic Grignard_Aromatic [Mg;$([Mg][F,Cl,Br,I]);$([$(*[c;$(c1ccccc1)])])]
Grignard Grignard_Heteroaromatic Grignard_Heteroaromatic [Mg;$([Mg][F,Cl,Br,I]);$([$(*[a;$(a1aaaaa1)]),$(*[a;$(a1aaaa1)]);!$(*[c;$(c1ccccc1)])])]
Metals Metals Metals [Zn,$([Mg;!$([Mg][F,Cl,Br,I])]),Li,Sn,Hg]
Silicium Silicium Silicium1 [Si;D1;$([Si][*])]
Silicium Silicium Silicium2 [Si;D2;$([Si][*])]
Hydroxylamine Hydroxylamine Hydroxylamine [N;D1;$(N[O;D1])]
Halogen Halogen Halogen [*;$([Cl,Br,I][Cl,Br,I])]
Peroxyde Peroxyde Peroxyde [O;!R;$(OO)]
XPhosphorus XPhosphorus XPhosphorus [P;D3;!$(P(=O));$(P([F,Cl,Br,I])[F,Cl,Br,I])]
